word,valence,arousal
aaaaaaah,-0.042,0.212
aaaah,0.04,0.272
aardvark,-0.146,-0.02
aback,-0.23,-0.186
abacus,0.02,-0.448
abalone,0.0,-0.04
abandon,-0.896,0.038
abandoned,-0.908,-0.038
abandoner,-0.667,0.667
abandonment,-0.744,-0.14
abase,-1.0,0.556
abased,-1.0,-0.667
abasement,-1.0,-0.333
abash,-0.667,-0.667
abashed,-0.646,0.288
abashedly,-0.667,-0.619
abashment,-0.815,-0.519
abatable,0.5,-0.583
abate,-0.49,0.392
abatement,-0.224,-0.324
abba,0.124,0.0
abbey,0.16,-0.266
abbot,-0.146,-0.358
abbreviate,0.062,-0.25
abbreviated,0.0,0.0
abbreviation,-0.062,-0.388
abbreviator,0.0,0.556
abdicate,-0.667,-0.667
abdication,-0.619,-0.63
abdicator,-0.667,-0.619
abdomen,-0.062,-0.076
abdominal,-0.02,-0.088
abdominally,0.0,-0.519
abduct,-0.654,0.44
abducted,-0.905,0.667
abductee,-0.714,0.619
abduction,-0.876,0.917
abductor,-1.0,0.714
aberrant,-0.708,0.53
aberration,-0.75,0.632
aberrational,-0.667,0.5
abet,-0.333,0.667
abeyance,-0.34,0.02
abhor,-0.75,0.204
abhorrence,-0.666,0.368
abhorrent,-0.542,0.5
abhorrently,-1.0,-0.074
abhorring,-1.0,0.704
abide,0.27,-0.292
abider,0.667,-0.667
abiding,0.592,-0.346
abilities,1.0,0.056
ability,0.75,0.02
abiotic,-0.042,-0.667
abject,-0.292,0.18
abjection,-1.0,-0.667
abjectly,-0.958,-0.458
abjectness,-1.0,-0.762
abjudicate,0.0,0.571
ablation,-0.164,0.0
ablaze,-0.594,0.847
able,0.572,0.0
abloom,0.917,-0.167
ably,0.708,0.667
abnormal,-0.726,0.208
abnormality,-0.816,0.31
abnormally,-0.667,0.042
abnormity,-0.667,-0.259
aboard,0.396,-0.432
abode,0.24,-0.396
abolish,-0.104,0.23
abolishable,-0.292,-0.667
abolisher,-0.667,0.667
abolishment,-0.267,-0.667
abolition,-0.354,0.38
abolitionary,0.667,0.444
abolitionism,0.778,0.667
abolitionist,0.958,0.667
abominable,-0.76,0.462
abominableness,-1.0,-0.667
abominably,-1.0,-0.583
abominate,-0.604,0.576
abomination,-0.844,0.51
abominator,-1.0,0.481
aboriginal,-0.104,-0.146
aboriginality,0.037,-0.571
aborigine,0.0,0.0
abort,-0.694,0.372
abortion,-0.836,0.54
abortionist,-0.667,0.619
abortive,-0.82,0.552
abortively,-0.667,0.667
abound,0.408,-0.02
about,0.0,0.0
above,0.314,-0.286
aboveboard,0.714,-0.533
aboveground,0.333,-0.095
abovementioned,0.082,-0.404
abracadabra,0.346,0.264
abrasion,-0.188,0.184
abrasive,-0.216,0.22
abrasively,-0.667,0.625
abrasiveness,-0.542,0.611
abreast,0.27,-0.24
abridge,0.0,0.593
abridged,0.0,-0.583
abridgement,-0.222,-0.625
abridgment,-0.278,-0.667
abroad,0.354,0.192
abrogate,-0.346,0.02
abrupt,-0.458,0.638
abruption,-0.667,0.667
abruptly,-0.5,0.616
abruptness,-0.667,0.63
abscess,-0.692,-0.098
abscond,-0.667,0.667
absconder,-0.667,0.667
absence,-0.694,-0.53
absent,-0.646,-0.558
absentee,-0.53,-0.34
absenteeism,-0.192,-0.454
absently,-0.185,-0.667
absentminded,-0.667,-0.583
absentmindedly,0.0,-0.458
absentmindedness,-0.667,-0.667
absentness,-0.389,-0.905
absinthe,-0.038,0.02
absolute,0.052,0.02
absolutely,0.222,0.037
absoluteness,0.619,-0.714
absolution,0.43,0.0
absolutism,-0.167,-0.444
absolutist,-0.074,0.0
absolvable,0.708,-0.333
absolve,0.368,-0.102
absolvent,0.533,0.0
absolver,1.0,0.0
absorb,-0.062,0.116
absorbability,0.333,-0.792
absorbable,0.444,-0.458
absorbance,0.0,-0.167
absorbed,-0.02,-0.058
absorbedly,0.238,-0.667
absorbedness,0.0,-0.667
absorbency,0.667,-0.333
absorbent,0.104,-0.212
absorber,0.0,-0.458
absorbing,-0.02,-0.02
absorption,0.218,-0.156
absorptive,0.25,0.667
abstain,-0.23,-0.23
abstainer,-0.286,-0.667
abstention,-0.458,-0.472
abstentious,-0.238,-0.667
abstinence,-0.48,-0.216
abstinent,0.667,-0.952
abstinently,-0.333,-0.75
abstract,-0.124,-0.416
abstractedly,0.0,-0.524
abstractedness,0.0,-0.963
abstracter,0.0,0.667
abstraction,-0.062,-0.122
abstractionism,0.667,-0.542
abstractionist,0.333,-0.296
abstractive,0.0,-0.292
abstractly,0.0,-0.958
abstractness,0.0,-0.667
abstractor,0.0,0.593
absurd,-0.624,0.312
absurdist,-0.333,0.0
absurdity,-0.77,0.056
absurdly,-0.667,0.167
absurdness,-0.875,-0.542
abundance,0.624,0.38
abundant,0.916,0.18
abundantly,1.0,0.0
abuse,-0.858,0.746
abused,-0.958,0.748
abuser,-0.758,0.41
abusive,-0.75,0.806
abusively,-0.714,1.0
abusiveness,-1.0,0.762
abutment,0.0,-0.47
abutting,0.0,0.667
abuzz,0.619,1.0
aby,-0.23,-0.096
abysmal,-0.5,0.42
abysmally,-1.0,-0.667
abyss,-0.294,0.45
abyssal,-0.533,-0.963
academia,0.156,-0.032
academic,0.562,-0.16
academically,0.667,-0.667
academy,0.408,-0.054
acapulco,0.704,0.667
accede,0.396,0.02
accelerant,0.286,0.688
accelerate,0.23,0.804
accelerated,0.22,0.516
acceleration,0.408,0.81
accelerative,0.556,0.905
accelerator,0.186,0.66
acceleratory,0.444,1.0
accelerometer,0.0,0.667
accent,0.196,-0.286
accentual,0.095,0.222
accentuate,0.346,0.112
accentuation,0.667,0.667
accept,0.694,-0.428
acceptability,0.762,-0.667
acceptable,0.624,-0.428
acceptableness,0.667,-0.667
acceptably,0.542,-0.667
acceptance,0.666,-0.426
acceptances,0.694,-0.174
acceptant,0.667,-0.458
accepter,0.667,0.0
acceptor,0.556,-0.519
access,0.428,-0.056
accessary,-0.238,-0.286
accessibility,0.366,-0.086
accessible,0.592,-0.18
accessibly,0.889,-0.148
accession,0.224,-0.234
accessories,0.429,0.083
accessorize,0.63,0.571
accessory,0.124,-0.416
accident,-0.75,0.816
accidental,-0.362,0.568
accidentally,-0.334,0.482
accidently,-0.333,0.333
acclaim,0.124,0.618
acclaimer,0.81,0.667
acclamation,1.0,0.667
acclamatory,0.667,0.667
acclimate,0.333,0.63
acclimation,0.667,0.667
acclimatization,0.667,-0.593
acclimatize,0.625,0.667
accolade,0.376,0.182
accommodate,0.688,-0.25
accommodation,0.634,-0.17
accommodative,0.625,-0.619
accommodator,0.667,-0.5
accompanied,0.0,0.056
accompanier,0.381,0.593
accompaniment,0.48,-0.042
accompanist,0.571,0.444
accompany,0.666,-0.188
accompanying,0.574,-0.08
accomplice,-0.184,0.16
accomplish,0.858,0.346
accomplishable,0.667,0.095
accomplished,0.74,0.04
accomplisher,0.905,0.852
accomplishment,0.834,0.388
accord,0.796,-0.472
accordable,0.556,0.0
accordance,0.318,-0.302
accordant,0.611,-0.63
accordion,0.208,-0.02
accordionist,0.074,0.667
accost,-0.667,0.667
account,0.062,-0.306
accountability,0.51,0.074
accountable,0.418,-0.436
accountably,0.708,0.0
accountancy,0.222,-0.63
accountant,0.25,-0.1
accounting,0.104,-0.22
accounts,0.184,-0.32
accoutrement,0.111,-0.074
accredit,0.75,0.417
accreditation,0.708,-0.667
accredited,0.338,-0.042
accretion,-0.104,0.038
accrual,0.667,0.667
accrue,0.04,-0.038
accruement,0.667,-0.167
accueil,-0.1,-0.098
accumulate,0.146,0.072
accumulation,-0.042,0.054
accumulative,0.292,-0.524
accumulatively,0.0,0.667
accumulativeness,0.611,0.63
accumulator,0.0,0.481
accuracy,0.208,-0.038
accurate,0.486,-0.28
accurately,0.667,0.167
accurateness,0.667,-0.875
accurse,-1.0,0.667
accursed,-0.73,0.49
accursedly,-1.0,0.148
accursedness,-1.0,-0.524
accusable,-0.667,0.222
accusation,-0.854,0.436
accusative,-0.604,0.51
accusatively,-0.619,0.667
accusatorial,-0.667,0.667
accusatorially,-0.667,0.63
accusatory,-0.667,0.667
accuse,-0.734,0.504
accused,-0.74,0.34
accuser,-0.756,0.558
accusing,-0.688,0.49
accustom,0.042,-0.467
accustomed,0.084,-0.27
ace,0.286,-0.038
acerbate,-1.0,0.667
acerbic,-0.667,0.0
acetaminophen,0.333,-0.333
acetate,0.0,-0.667
acetic,-0.334,-0.16
acetone,-0.238,0.0
acetyl,0.0,0.0
acetylene,-0.388,-0.062
ache,-0.708,0.52
achievable,1.0,-0.185
achieve,0.632,0.09
achieved,0.792,0.038
achievement,0.792,0.616
achiever,0.905,0.667
achiness,-0.714,-0.259
aching,-0.894,0.76
achromatic,0.0,-0.556
achy,-0.666,0.68
acid,-0.47,0.284
acidic,-0.667,0.0
acidification,-0.667,0.19
acidifier,-0.333,0.417
acidify,-0.667,0.583
acidity,-0.688,0.326
acidize,-0.667,0.667
acidly,-0.619,0.0
acknowledge,0.572,-0.26
acknowledgeable,0.708,0.0
acknowledged,0.428,-0.114
acknowledgement,0.638,0.078
acknowledger,0.5,0.611
acknowledgment,0.592,0.056
acme,-0.184,-0.13
acne,-0.666,-0.052
acolyte,0.333,-0.167
acorn,-0.104,-0.604
acoustic,0.084,-0.076
acoustical,0.0,-0.481
acoustically,0.0,0.0
acoustician,0.0,0.19
acoustics,0.222,-0.34
acquaint,0.292,-0.018
acquaintance,0.312,-0.42
acquaintanceship,0.333,-0.667
acquainted,0.812,-0.284
acquiesce,-0.095,-0.667
acquiescence,0.084,-0.04
acquiescent,-0.333,-0.667
acquiescently,-0.333,-0.667
acquirable,0.571,0.333
acquire,0.666,-0.064
acquired,0.074,0.5
acquirement,0.714,-0.667
acquirer,0.042,0.619
acquiring,0.47,0.02
acquisition,0.396,0.018
acquisitions,0.546,0.32
acquisitive,-0.292,0.667
acquisitively,0.167,0.625
acquisitiveness,-0.619,0.667
acquit,0.166,0.142
acquittal,0.52,-0.006
acquitted,1.0,-0.556
acquitter,1.0,0.583
acre,0.166,-0.226
acreage,0.482,-0.1
acres,0.02,-0.274
acrid,-0.667,0.667
acridity,-0.81,0.667
acridly,-0.905,0.583
acridness,-0.667,0.667
acrimonious,-1.0,0.714
acrimoniously,-0.875,0.708
acrimoniousness,-1.0,0.917
acrimony,-1.0,0.667
acrobat,0.416,0.656
acrobatic,1.0,1.0
acrobatically,0.704,1.0
acronym,0.0,0.0
acronymic,0.0,-0.889
acrophobia,-0.704,0.667
acropolis,0.333,-0.667
across,0.0,0.667
acrostic,0.25,-0.083
acrylic,0.164,-0.442
act,0.312,0.408
actin,0.0,0.667
acting,0.396,0.286
action,0.52,0.796
actionable,0.346,0.404
actionably,0.667,0.667
activate,0.528,0.3
activated,0.667,1.0
activation,0.562,0.6
activator,0.667,0.958
active,0.694,0.46
actively,0.667,1.0
activeness,1.0,1.0
activism,0.667,0.708
activist,0.062,0.306
activities,0.667,1.0
activity,0.402,0.32
actor,0.306,0.122
actress,0.266,0.112
actual,0.458,-0.2
actuality,0.5,-0.072
actualization,1.0,0.519
actualize,0.778,0.667
actually,0.0,0.0
actuarial,0.0,-0.524
actuary,0.02,-0.192
actuate,0.083,1.0
actuation,0.042,0.889
actuator,0.0,1.0
acuity,-0.062,-0.244
acumen,0.128,0.32
acupressure,0.667,0.37
acupuncture,0.062,-0.352
acupuncturist,0.407,0.381
acute,-0.146,0.304
acutely,-0.166,0.086
acuteness,0.778,0.458
ad,0.042,0.41
adage,0.034,-0.17
adamant,-0.312,0.058
adamantly,0.0,0.667
adapt,0.48,-0.29
adaptability,0.833,0.067
adaptable,0.47,-0.154
adaptation,0.326,-0.27
adapter,0.0,0.0
adaption,0.667,0.619
adaptive,0.792,0.4
adaptively,0.667,0.5
adaptor,0.067,0.481
add,0.456,-0.02
added,0.124,-0.19
addendum,-0.216,-0.26
adder,-0.224,-0.078
addict,-0.85,0.392
addicted,-0.688,0.424
addictedness,-0.667,0.667
addiction,-0.64,0.612
addictive,-0.396,0.366
addictiveness,-0.667,0.708
addition,0.124,-0.254
additional,0.346,-0.076
additionally,0.0,-0.593
additive,0.122,0.266
additively,0.0,0.0
addlebrained,-0.667,-0.519
addled,-0.667,-0.625
address,0.3,-0.346
addressable,0.667,0.048
addressbook,0.0,-0.667
addressee,0.244,-0.236
addresser,0.0,0.625
addresses,0.02,-0.292
addressor,0.0,0.0
adenoid,-0.37,-0.556
adept,0.188,0.078
adeptly,0.875,0.667
adeptness,1.0,0.19
adequacy,0.23,-0.13
adequate,0.708,-0.472
adequately,0.333,-0.125
adequateness,0.333,-0.667
adhd,-0.484,-0.054
adhere,0.266,-0.322
adherence,0.52,-0.386
adherent,0.122,-0.23
adherently,0.067,-0.667
adherer,0.667,0.556
adhering,0.224,0.122
adhesion,0.042,-0.11
adhesive,0.208,-0.3
adhesively,0.042,0.0
adhesiveness,0.5,-0.417
adieu,-0.5,-0.058
adios,0.0,-0.556
adipose,-0.334,-0.3
adjacency,-0.27,-0.166
adjacent,0.29,-0.448
adjacently,0.0,0.467
adjective,0.14,-0.368
adjectively,0.0,-0.556
adjoin,0.0,0.0
adjoining,0.04,-0.2
adjourn,-0.23,-0.088
adjournment,-0.124,0.02
adjudicate,0.118,0.04
adjudication,0.102,-0.076
adjudicative,0.593,0.667
adjudicator,0.148,0.667
adjunct,-0.082,-0.12
adjunction,0.0,0.0
adjunctive,0.0,0.524
adjunctively,0.0,0.0
adjure,0.0,0.63
adjust,0.294,-0.346
adjustability,0.667,0.667
adjustable,0.667,0.458
adjustably,0.042,0.0
adjuster,0.02,0.08
adjustment,0.18,0.04
adjustor,0.667,0.667
adjuvant,0.02,0.0
admin,0.376,-0.16
administer,0.27,-0.15
administrable,0.63,0.296
administrant,0.0,0.583
administrate,0.111,0.667
administration,0.25,-0.192
administrational,0.0,-0.667
administrative,0.084,-0.17
administratively,0.0,-0.571
administrator,0.076,-0.04
admirable,0.858,0.2
admirably,0.952,-0.429
admiral,0.688,-0.02
admiralship,1.0,-0.19
admiralty,0.188,0.094
admiration,0.938,0.166
admire,0.734,0.384
admired,0.834,0.12
admirer,0.592,0.44
admiring,0.734,0.156
admissibility,0.604,0.16
admissible,0.56,0.056
admissibly,0.0,-0.667
admission,0.604,-0.17
admissive,0.619,-0.556
admit,0.076,-0.154
admittance,0.38,-0.098
admitted,0.44,-0.02
admittedly,0.0,0.0
admitter,0.0,0.458
admitting,0.24,0.0
admixture,-0.1,-0.25
admonish,-0.667,-0.444
admonisher,-0.5,0.625
admonishment,-0.667,0.542
admonition,-0.286,0.212
ado,0.04,-0.154
adobe,0.0,-0.362
adolescence,-0.026,0.388
adolescent,0.562,0.36
adolescently,0.0,0.583
adopt,0.388,0.224
adoptability,0.708,-0.286
adoptable,0.667,-0.259
adoptee,0.048,-0.292
adopter,0.667,0.667
adoption,0.25,0.132
adoptive,0.062,-0.062
adoptively,0.667,0.037
adorability,0.944,-0.333
adorable,0.938,0.038
adorableness,1.0,-0.333
adorably,0.905,-0.542
adoration,0.77,0.398
adore,0.708,-0.124
adored,1.0,-0.667
adorer,0.963,0.667
adoring,0.77,0.24
adorn,0.82,-0.152
adorner,0.667,-0.5
adornment,0.836,-0.254
adrenal,0.0,0.917
adrenalin,0.73,0.84
adrenaline,0.53,0.913
adrift,-0.204,-0.028
adroitness,0.926,0.667
adulate,0.444,0.667
adulation,1.0,0.667
adulatory,0.625,0.125
adult,0.63,-0.018
adulterant,-0.667,0.0
adulterate,-0.792,0.333
adulterated,-0.624,0.73
adulteration,-0.708,0.0
adulterator,-0.958,0.667
adulterer,-0.542,0.628
adulteress,-0.708,0.542
adulterous,-1.0,0.667
adulterously,-0.958,0.63
adultery,-0.76,0.844
adulthood,0.082,-0.092
adultlike,0.667,-0.375
adultness,0.583,-0.519
advance,0.346,-0.056
advanced,0.688,0.246
advancement,0.552,0.3
advancer,0.667,1.0
advancing,0.858,0.216
advantage,0.834,0.096
advantageous,0.674,0.28
advantageously,0.917,0.083
advantageousness,1.0,-0.583
advent,0.33,0.12
adventure,0.834,0.714
adventurer,0.562,0.678
adventures,0.624,0.528
adventuresome,0.905,0.963
