track_id,name,artist,spotify_id,energy,valence
TRIOREW128F424EAF0,Mr. Brightside,The Killers,09ZQ5TmUG8TSL56n0knqrj,0.918,0.24
TRRIVDJ128F429B0E8,Wonderwall,Oasis,06UfBBDISthj1ZJAtX4xjj,0.892,0.651
TROUVHL128F426C441,Come as You Are,Nirvana,0keNu0t0tqsWtExGM3nT1D,0.826,0.543
TRUEIND128F93038C4,Take Me Out,Franz Ferdinand,0ancVQ9wEcHVd0RrGICTE4,0.664,0.49
TRLNZBD128F935E4D8,Creep,Radiohead,01QoK9DA7VTeTSE3MNzp4I,0.43,0.104
TRUMISQ128F9340BEE,Somebody Told Me,The Killers,0FNmIQ7u45Lhdn6RHhSLix,0.979,0.704
TRVCCWR128F9304A30,Viva la Vida,Coldplay,08A1lZeyLMWH58DT6aYjnC,0.806,0.52
TRXOGZT128F424AD74,Karma Police,Radiohead,01puceOqImrzSfKDAcd1Ia,0.505,0.317
TRMZXEW128F9341FD5,The Scientist,Coldplay,0GSSsT9szp0rJkBrYkzy6s,0.429,0.173
TRUJIIV12903CA8848,Clocks,Coldplay,0BCPKOYdS2jbQ8iyB56Zns,0.749,0.255
TRIODZU128E078F3E2,Under the Bridge,Red Hot Chili Peppers,06zh28PcYIFvNOAz5Wq2Xb,0.49,0.513
TRURKLR12903CEBD47,Seven Nation Army,The White Stripes,025zyxycElQVXwZSzrvJQr,0.465,0.305
TRYEZGE128F92D04C8,Feel Good Inc.,Gorillaz,09xrHi86kLkEIzDLZiHNnv,0.72,0.832
TRUENYK128F4274057,Chop Suey!,System of a Down,0EIIqshB4doby2sMQpeqGN,0.925,0.322
TRXNTMB12903CA884A,Fix You,Coldplay,0Kk4dfh9Kq7Okg4T58IBVR,0.416,0.129
TRREXPI128E078EE14,Lithium,Nirvana,07hCnHx9DhqZg5eN6RvCbd,0.656,0.485
TRAJBOD128F9303DCD,Song 2,Blur,0g0VHJLFYFN3yHZImyQhPA,0.723,0.779
TRFNTDZ128F426B34D,In the End,Linkin Park,138JuTi1U3WIROalXod9FB,0.853,0.37
TRCSXPV128F425E2F7,Chasing Cars,Snow Patrol,01Jvw9zNg5LM2RF8WNfnLy,0.568,0.125
TRDKPRZ128F92F37EA,Otherside,Red Hot Chili Peppers,0lfH1VLbnBywPOmIMit60M,0.795,0.513
TRIQRZJ128F14898B4,When You Were Young,The Killers,028sncWcELBmNBE6RYSRxh,0.981,0.313
TRRPNNQ12903CB411A,Supermassive Black Hole,Muse,0v6Mi3f552jMW6dhYoKAbC,0.891,0.837
TRRSVFJ128F426FB31,Bohemian Rhapsody,Queen,0LiLzOhHCyGnCX1znFrtul,0.405,0.228
TRWEHTV12903D086FC,Use Somebody,Kings of Leon,03BednbxXIA23kUtR5HMQ9,0.755,0.194
TRLSLNY128F93265C9,Starlight,Muse,0hlK03xCSPtLSFJdlZM2kZ,0.88,0.266
TRIQWYH128F1486062,Paranoid Android,Radiohead,0bomiLGPTUNyk3mV19pbwN,0.8,0.299
TRXZBFS128F92F24D2,Everlong,Foo Fighters,07q6QTQXyPRCf7GbLakRPr,0.867,0.36
TRAGABG12903CEC68B,No Surprises,Radiohead,0ijMYjXk5iRZp2VsiC8MC8,0.393,0.118
TRBBHPO128F930F55D,Iris,Goo Goo Dolls,0Ik6qKLeS741z2Xl2oy0YS,0.715,0.497
TRXCXKA128F92E6258,Numb,Linkin Park,0kO3njY9N1Rxgv27Ha1lLh,0.863,0.243
TRLQLBZ128F42A70F4,Zombie,The Cranberries,01vQXuDFQPIizZb7XE3BqN,0.664,0.265
TRJLKMS128F1494A77,Dani California,Red Hot Chili Peppers,0BWx4WKgUXKHj8npThsbcH,0.913,0.73
TRUOEWJ128F9345A85,Stairway to Heaven,Led Zeppelin,03hLW9osM6UuNqlpwL8XPo,0.361,0.212
TRJVKZX128F4236A44,Welcome to the Jungle,Guns N' Roses,0Aau2Ju1RoLAhL90zRcDx4,0.91,0.154
TRUTNPC128F9300385,Clint Eastwood,Gorillaz,04ucB3K9gVnynVBkDMdd0T,0.712,0.556
TRCPUIV128E079280D,Paint It Black,The Rolling Stones,0hBZCHzVNvboVLWS7aNKRO,0.793,0.615
TROIDPM12903CBDB4D,Reptilia,The Strokes,2hmibAtdObO8F4tnhLENuQ,0.65,0.77
TRIPMMN12903CF4B8A,The Pretender,Foo Fighters,0FTZhIxKaX6HqJA0MvGR16,0.958,0.359
TRIWYMW128F145E0F9,All These Things That I've Done,The Killers,07ygRsnqBqNFfdpmH3BeOV,0.751,0.219
TRAOMFT128F42A7684,Losing My Religion,R.E.M.,04pRvt8HcPmmP6EeZoYMxa,0.736,0.629
TRFOPON12903CDF30E,Paranoid,Black Sabbath,01dw6mDc9xJMoEPasHaV7Y,0.772,0.492
TRXENSY128F4286505,Time Is Running Out,Muse,0bAng0CKxaDaXiLDNca9cc,0.854,0.443
